Date,Open,High,Low,Close,Adj Close,Volume,RSI,CCI,Williams_R,Ultimate_Oscillator,MFI,ADX,Bollinger_Band_Percent,Buy_Signal,Sell_Signal,Buy_Exit,Sell_Exit,Signal,Market_Return,Strategy_Return,Cumulative_Return
2000-03-10,10008.5498046875,10091.3896484375,9907.259765625,9928.8203125,9928.8203125,197440000,38.42451086353027,-56.64580720487125,-72.31867572459045,44.14829458230725,49.00732709336713,41.891910023534116,0.2260096581899225,0,0,1,-1,0,-0.008215893918469358,-0.0,-7.629320600796015
2000-03-13,9911.2197265625,9998.5498046875,9735.5400390625,9947.1298828125,9947.1298828125,186210000,39.05440807304607,-85.28217418889696,-69.74605888382266,46.66598650872799,49.25828013988013,41.52338801228127,0.2686810867368498,0,0,1,-1,0,0.0018423849236608811,0.0,-7.629320600796015
2000-03-14,9957.669921875,10043.2998046875,9811.240234375,9811.240234375,9811.240234375,186080000,36.10256806040138,-77.66281103403429,-88.8394615191461,40.32949149193865,49.35599722951218,40.88630412583269,0.16720365775226162,0,0,1,-1,0,-0.013755364462289074,-0.0,-7.629320600796015
2000-03-15,9808.150390625,10180.2001953125,9776.490234375,10131.41015625,10131.41015625,204920000,46.38484227649043,0.6209922563789815,-43.8534504405241,49.0106091351772,57.08728971128559,39.43778794540855,0.5211758271779791,0,0,1,-1,0,0.032111823411358396,0.0,-7.629320600796015
2000-03-16,10139.580078125,10632.4599609375,10138.33984375,10630.599609375,10630.599609375,253790000,57.78978061263419,179.56721934779944,-0.2065564598499782,64.94222995117678,64.71217440975776,37.24656397675911,1.0862161543467257,0,-1,1,0,0,0.04809608352192997,0.0,-7.629320600796015
2000-03-17,10629.98046875,10763.3798828125,10567.3095703125,10595.23046875,10595.23046875,247830000,56.8667678867441,190.0153513079784,-16.300334744511172,61.14682410701473,65.30338533547672,35.67166574786809,1.0224413295472907,0,-1,1,0,0,-0.003332653962711376,-0.0,-7.629320600796015
2000-03-20,10594.75,10727.7099609375,10586.990234375,10680.240234375,10680.240234375,177730000,58.5791650001259,151.29083117299453,-8.059523178406707,58.64272908621223,65.25555651130217,34.20926024961214,1.0213244597473912,0,-1,1,0,0,0.007991383055160783,0.0,-7.629320600796015
2000-03-21,10680.240234375,10907.33984375,10603.6103515625,10907.33984375,10907.33984375,211950000,62.825110564095446,145.77456633895878,-0.0,66.05116955384541,65.36313477037467,33.46272418634906,1.1008863826023056,0,-1,1,0,0,0.02104061564255331,0.0,-7.629320600796015
2000-03-22,10916.9599609375,10917.26953125,10789.1298828125,10866.7001953125,10866.7001953125,195830000,61.60805251919037,124.8400171177973,-4.265798728242845,65.10907041365662,65.39546656239725,32.802040568531694,0.985088128939322,0,-1,1,0,0,-0.0037328576189583716,-0.0,-7.629320600796015
2000-03-23,10884.3798828125,11136.6103515625,10831.01953125,11119.8603515625,11119.8603515625,224710000,66.02360834762605,127.28083790198313,-1.1923398836022678,72.89313683877651,65.74283132109926,32.86203617742024,1.048750739410499,0,-1,1,0,0,0.02302964527285751,0.0,-7.629320600796015
2000-03-24,11107.4501953125,11234.650390625,11045.08984375,11112.7197265625,11112.7197265625,217140000,65.79375255712586,117.09485078498744,-8.113345233538825,69.70634539824259,72.15125617869961,33.185563477453535,0.9681491909003985,0,-1,1,0,0,-0.0006423568673037092,-0.0,-7.629320600796015
2000-03-27,11093.25,11170.8203125,10982.73046875,11025.849609375,11025.849609375,184880000,62.923703414165786,92.438264378312,-13.893739006010103,62.43808904377908,73.8568571515218,33.12030638247412,0.8690917049915258,0,-1,1,0,0,-0.007847893124941009,-0.0,-7.629320600796015
2000-03-28,11023.6796875,11094.33984375,10932.7802734375,10936.1103515625,10936.1103515625,177780000,60.011409180930976,72.51570138707095,-19.914480528490532,61.4818317035536,74.45384511439632,32.76548241170049,0.7876583627861121,0,-1,1,0,0,-0.008172290398294977,-0.0,-7.629320600796015
2000-03-29,10939.0498046875,11101.5498046875,10910.75,11018.7197265625,11018.7197265625,199370000,61.76571573542413,68.83859803408207,-14.403920554443424,60.04030577507958,74.73659657945065,32.30257871833978,0.7996406028933251,0,-1,1,0,0,0.007525429672420952,0.0,-7.629320600796015
2000-03-30,11008.169921875,11144.0595703125,10916.33984375,10980.25,10980.25,214190000,60.43605770891759,63.35283280767856,-16.970090984952666,52.41072553218792,75.05606206969378,32.027534996846896,0.7530790913391473,0,-1,1,0,0,-0.003497415220244408,-0.0,-7.629320600796015
2000-03-31,10993.2802734375,11107.759765625,10921.919921875,10921.919921875,10921.919921875,179590000,58.38374939204234,51.247533048002374,-21.44692182196636,46.52260781803568,74.73983292456681,31.772137255460645,0.7048906617931583,0,0,1,-1,0,-0.005326432608213978,-0.0,-7.629320600796015
